id,price,model,mileage,motorcycle_class,year,engine_capacity,engine_strokes,damaged,documents,city,date
63,619 000₽,Kawasaki VN Vulcan 1700 Vaquero,31 500 км,Круизер,2011,1 700 куб. см.,4х тактный,Исправен,Есть ПТС,Солнечногорск, 6 ноября
64,189 000₽,Honda Monkey,189 км,Классика,2009,50 куб. см.,4х тактный,Исправен,Есть ПТС,Москва, 6 ноября
65,45 000₽,pitster rto 160,100 км,Питбайк,2015,160 куб. см.,4х тактный,Исправен,Есть ПТС,Сергиев Посад, 6 ноября
66,100 000₽,Honda CR 125,10 км,Кроссовый,1995,125 куб. см.,2х тактный,Исправен,Есть ПТС,Серпухов, 6 ноября
67,230 000₽,Suzuki GSX-R 750,17 000 км,Спортивный,2004,750 куб. см.,4х тактный,Исправен,Есть ПТС,Москва, 6 ноября
68,250 000₽,Yamaha YZF R6,26 000 км,Спортивный,2005,600 куб. см.,4х тактный,Исправен,Есть ПТС,Москва, 5 ноября
69,135 000₽,Honda Steed 600,27 000 км,Чоппер,1993,600 куб. см.,2х тактный,Исправен,Есть ПТС,Москва, 5 ноября
70,550 000₽,Honda CBR 1000RR Fireblade,25 000 км,Спортивный,2010,1 000 куб. см.,4х тактный,Исправен,Есть ПТС,Москва, 3 ноября
71,800 000₽,Honda GL 1800 Gold Wing,2 750 км,Круизер,2007,1 800 куб. см.,4х тактный,Исправен,Есть ПТС,Москва, 2 ноября
72,1 399 900₽,KTM 1290 Super Adventure R,1 км,Туристический,2018,1 290 куб. см.,4х тактный,Исправен,Есть ПТС,Москва, 1 ноября
73,180 000₽,Kawasaki KLX 250,21 000 км,Эндуро,2006,250 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,31 октября
74,90 000₽,Baltmotors Motard 250,5 000 км,Мотард,2013,250 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,30 октября
75,300 000₽,Yamaha YZF R6,35 000 км,Спортивный,2006,600 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,29 октября
76,125 000₽,Honda CB 400SF,34 000 км,Классика,1997,400 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,29 октября
77,39 000₽,Stels Flame 200,30 000 км,Классика,2012,200 куб. см.,2х тактный,Исправен,Есть ПТС,Москва,28 октября
78,420 000₽,Honda CBR 1000RR Fireblade,41 000 км,Спортивный,2008,1 000 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,28 октября
79,420 000₽,Harley-Davidson Sportster 1200,16 236 км,Чоппер,2009,1 200 куб. см.,4х тактный,Исправен,Есть ПТС,Ликино-Дулево,28 октября
80,100 000₽,Suzuki RF 400RV,40 000 км,Спорт-турист,1995,400 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,27 октября
81,125 000₽,Suzuki SV 400,26 500 км,Спортивный,2001,400 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,26 октября
82,Цена не указана,Ducati 900SS,30 380 км,Спортивный,2000,900 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,25 октября
83,235 000₽,Yamaha FZS 1000,65 000 км,Спорт-турист,2005,1 000 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,25 октября
84,290 000₽,BMW R 1150 RT,45 000 км,Туристический,2001,1 150 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,24 октября
85,123 000₽,Suzuki GSX 400 Impulse,10 000 км,None,1996,400 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,24 октября
86,370 000₽,Suzuki V-Strom 1000,36 000 км,Туристический,2006,1 000 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,23 октября
87,710 000₽,Suzuki M1800R Intruder,13 000 км,Круизер,2012,1 800 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,22 октября
