id,price,model,mileage,motorcycle_class,year,engine_capacity,engine_strokes,damaged,documents,city,date
83,360 000₽,Honda VFR 800F,30 840 км,Спорт-турист,2007,800 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,11 октября
84,35 000₽,Kawasaki KSR110,10 000 км,Кастом,2004,110 куб. см.,4х тактный,Исправен,Есть ПТС,Москва, 9 октября
85,215 000₽,Ducati Multistrada 1000,25 000 км,Спорт-турист,2003,1 000 куб. см.,4х тактный,Исправен,Есть ПТС,Москва, 8 октября
86,53 000₽,Stels Flex 250,6 000 км,Классика
				
			
			
?,2014,225 куб. см.,4х тактный
				
			
			
?,Исправен,Есть ПТС,Москва, 8 октября
87,425 000₽,Kawasaki VN Vulcan 2000,18 000 км,Круизер,2004,2 000 куб. см.,4х тактный,Исправен,Есть ПТС,Москва, 6 октября
88,700 000₽,BMW S 1000 RR,45 000 км,Спортивный,2011,1 000 куб. см.,4х тактный,Исправен,Есть ПТС,Москва, 6 октября
89,190 000₽,Днепр К-750,200 км,Туристический,1960,750 куб. см.,4х тактный,Исправен,Есть ПТС,Москва, 5 октября
90,249 999₽,Yamaha XJR 1300,46 000 км,Классика,2003,1 300 куб. см.,4х тактный,Исправен,Есть ПТС,Москва, 4 октября
91,1 100 000₽,Yamaha MT-10,5 180 км,Спорт-турист,2016,160 куб. см.,4х тактный,Исправен,Есть ПТС,Москва, 3 октября
92,31 000₽,Kayo YX125,2 000 км,Питбайк,2014,125 куб. см.,4х тактный,None,Есть ПТС,Москва, 3 октября
93,400 000₽,Honda Shadow Phantom,11 875 км,Круизер,2011,745 куб. см.,None,Исправен,Есть ПТС,Москва, 2 октября
94,220 000₽,Honda CB 600,25 000 км,Классика,2000,600 куб. см.,4х тактный
				
			
			
?,Исправен,Есть ПТС,Москва, 2 октября
95,150 000₽,Zongshen ZS250GY-3,650 км,Туристический,2014,250 куб. см.,4х тактный,Исправен,Есть ПТС,Москва, 2 октября
96,1 600 000₽,Honda GL 1800,12 700 км,Туристический,2013,1 800 куб. см.,4х тактный,Исправен,Есть ПТС,Москва, 1 октября
97,275 000₽,Yamaha FZ 6,33 458 км,None,2008,600 куб. см.,None,Исправен,Есть ПТС,Москва, 1 октября
98,Цена не указана,Sym Maxsym,19 500 км,None,2016,600 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,30 сентября
99,165 000₽,Иж 350,70 000 км,Чоппер,1958,350 куб. см.,2х тактный,Неисправен,Без ПТС,Москва,30 сентября
100,450 000₽,BMW K 1200 LT,90 000 км,Туристический,2001,1 200 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,28 сентября
101,650 000₽,BMW F 800 GT,8 100 км,Туристический,2016,798 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,28 сентября
102,335 000₽,Yamaha XJ 600 S Diversion,20 000 км,Классика,2013,600 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,28 сентября
103,480 000₽,Suzuki GSX-R 600,18 000 км,Спортивный,2012,600 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,28 сентября
104,520 000₽,Kawasaki Ninja ZX-6R,7 500 км,Спортивный,2012,636 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,28 сентября
105,300 000₽,Kawasaki VN Vulcan 900,19 300 км,Чоппер,2008,900 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,26 сентября
106,240 000₽,Honda Shadow 750,33 600 км,Чоппер,2004,750 куб. см.,4х тактный
				
			
			
?,Исправен,Есть ПТС,Москва,26 сентября
107,750 000₽,BMW,44 000 км,Туристический,2013,1 200 куб. см.,None,Исправен,Есть ПТС,Москва,26 сентября
